,doc_id,youtube_video_id,start_time_sec,end_time_sec,transcription,title,start_time,end_time,url,total_time,total_words
0,1,CTZJSVbzdyU,2.73,65.339,peppa pig little brother mummy pig daddy peppa george play granny pig grandpa pig house cat dream sure dinosaur grandpa plant seed seed grow plant make little hole seed cover earth water,gardening,00:00:02.730,00:01:05.339,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,62.609,32
1,2,CTZJSVbzdyU,67.32,117.659,garden grow tiny seed like big apple tree yes tiny seed grow little apple tree like little apple tree grow big apple tree like inside apple seed open apple tree exactly grandpa want plant seed like plant strawberry seed yes seed,gardening,00:01:07.320,00:01:57.659,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.339,41
2,3,CTZJSVbzdyU,118.469,161.31,grow lovely strawberry plant make little hole seekin cover shall water want water good wait grow peppa george wait seed grow patient peppa long time grow peppa george time home,gardening,00:01:58.469,00:02:41.310,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.841,30
3,4,CTZJSVbzdyU,161.73,198.3,wait strawberry plant grow strawberry cheese worry peppa time come seed grow plant strawberry yes come peppa bye bye grandpa bye bye strawberry grandpa pig look peppa strawberry plant day grandpa pig tiny plant,gardening,00:02:41.730,00:03:18.300,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.57,34
4,5,CTZJSVbzdyU,199.76,248.28,grow day day plant grow big big day grandpa pig special strawberry peppa george come play grandpa grandpa plant grow yes look thank parker plant yes george turn choose yes choose george cheese carrot grandpa think george grow,gardening,00:03:19.760,00:04:08.280,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,48.52,38
5,6,CTZJSVbzdyU,249.12,273.66,carrot george like grow carrot like grow george think want grow george want grow dinosaur tree silly george dinosaur stick,gardening,00:04:09.120,00:04:33.660,https://www.youtube.com/watch?v=CTZJSVbzdyU&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.54,20
6,7,KYOWEC3Hx40,2.879,43.04,peppa pig little brother george mummy pig daddy pig peppa george mummy daddy lovely sunny day peppa george wait garden play mummy play play finish,hiccups,00:00:02.879,00:00:43.040,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.161,25
7,8,KYOWEC3Hx40,43.52,85.2,breakfast george drink juice george drink juice quickly hiccup play mummy george hiccup george hiccup bubby george right play look george,hiccups,00:00:43.520,00:01:25.200,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,41.68,21
8,9,KYOWEC3Hx40,91.52,127.92,peppa george love play george throw ball catch george stop hiccuping george throw ball catch george dear george hiccup spoil game george know cure hiccup say,hiccups,00:01:31.520,00:02:07.920,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.4,26
9,10,KYOWEC3Hx40,132.64,168.84,rub head rub good hiccup peppa cure hiccup work george wrong know way cure hiccup jump time leg wave arm stick tongue,hiccups,00:02:12.640,00:02:48.840,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.2,22
10,11,KYOWEC3Hx40,176.08,213.44,close eye turn time peppa new cure work george hiccup know cure ill piggy shock george scare remember game stop hiccup remember pretend,hiccups,00:02:56.080,00:03:33.440,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.36,23
11,12,KYOWEC3Hx40,223.599,294.84,peppa play roughly little sorry mummy try stop george hiccup george hiccup come daddy pig beaker george drink quickly hiccup little george drink juice quickly want peppa pig,hiccups,00:03:43.599,00:04:54.840,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,71.241,28
